,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dust_correction,transf_pm_coeffA,transf_pm_coeffB
77124,28.37936279882297,60.599616103838855,130.4818995336449,-1.358913579804662,6.33637156584976,0.2474172938948341,-8.81126520434525,0.19254828953637007,9.217883457997607,0.2755946171818571,-0.39913663,0.5733004,-0.4813072,2.7892599836514913,0.6985889047196056,9.057872999999999,9.240003999999999,8.765597,0.06103694278926422,0.971215250532242,-0.2382035623864479
78428,36.61391055064265,54.284547898891155,136.6098212212571,-6.04440857082162,6.552202560362099,0.041731075777551765,-57.548528605617896,0.06797372253823042,-10.550542305191492,0.08198015898113699,0.37873697,-0.05924456,0.30569050000000003,-35.61487957775354,0.35613878731176296,9.070681,9.325808,8.690582000000001,0.09466203297366008,0.932756524296261,-0.36050695746789513
80235,35.317085295811594,53.65231702527955,136.11473573833095,-6.904400163857019,6.392333861714228,0.041774244792691005,112.61194735424203,0.08392020514893918,-52.033484793897046,0.09058018457684833,0.14543179,0.1498128,0.18193273,20.74451547535709,0.4354805386171927,9.088061999999999,9.588094,8.470391000000001,0.09708892212699602,0.9395328922072356,-0.34245867555182075
81676,13.419951500542847,54.0740386061251,123.264681097149,-8.796262890476994,6.543320432745156,0.05206809512450946,47.48694617620095,0.06999731390849448,-4.982895625340523,0.06277848279957829,-0.19529374,0.40126032,-0.48010406,0.7866238466536064,0.4988066241850364,9.102076,9.329416,8.762144000000001,0.12715487644328968,0.9999611964593274,-0.008809402682952727
82889,16.38903843508735,41.222349682962495,125.78602029819706,-21.571148159702872,6.154862692210054,0.03712948163697018,55.008337709343394,0.06633184832550124,-41.35857704311471,0.07223423817250589,-0.002863729,-0.023919628999999998,0.20536694,,,9.113463000000001,9.402949000000001,8.702573,0.048435356635106765,0.9982628726375379,-0.05891720558080549
85339,19.849772970284523,43.37016240815213,128.30754405854032,-19.20954556439525,6.139586219861039,0.05540686753082991,14.518040733960738,0.07744943354505811,-11.280775954187169,0.09623524135185063,-0.030676277000000002,0.13434808,0.28470117,,,9.136295,9.349215,8.820934,0.05748342067652351,0.9934003080949635,-0.11469885734754075
85722,44.533318207050506,82.8329291405456,126.95503316148931,20.97265325177304,6.216946105612946,0.023134083280664467,18.873179167586592,0.037238127293190884,-43.71656244824831,0.042147465939906766,0.06858746,0.32922933,0.07270884,0.35826005313605197,0.2611253516053598,9.139958,9.5406065,8.611676,0.03724146548607016,0.8657519196817495,-0.5004733894697754
85732,13.697927143381694,61.514186669469815,123.33191076052564,-1.3549586067754549,6.462924406996253,0.028240073582596562,-1.929854215038008,0.03741825288502305,-5.624876107164846,0.038039256051482936,-0.010252666,0.18388186,-0.40244073,-3.042222296875566,0.4872653127893534,9.140022,9.380714,8.788857,0.06269434349909889,0.9999151455088511,-0.013026963652865967
86597,19.15637528723265,42.25059421044257,127.90035675023887,-20.37803924254328,6.239748865135257,0.046524537301676286,61.57857725756471,0.09268813549873192,-15.81189526013273,0.07744932570104365,-0.02511849,0.1284692,0.019769253,11.421213593289092,0.6554696088865071,9.147888,9.384763000000001,8.8001175,0.05001240963397494,0.9945635590223569,-0.1041312972395077
86837,36.07052375830389,66.17876993020374,132.12612137847162,4.97842561499605,6.60202792905701,0.0336436030921092,-12.298681781938686,0.03415054290763135,-7.236877348373237,0.04685831535329262,-0.07282382,0.2950691,-0.2663435,,,9.150143,9.405332000000001,8.778777999999999,0.06996968639856087,0.9359663180238668,-0.352089550434042
